import time: self [us] | cumulative | imported package
import time:      1950 |       8843 |                       rsa.prime
import time:      1955 |       1955 |                       rsa.pem
import time:      1355 |       1355 |                       rsa.core
import time:      2364 |      14515 |                     rsa.key
import time:      2896 |       2896 |                     rsa.pkcs1
import time:      2085 |      19495 |                   rsa
import time:      3951 |       3951 |                     pyasn1
import time:      2213 |       6164 |                   pyasn1.error
import time:      3651 |       3651 |                       pyasn1.codec
import time:      2259 |       5910 |                     pyasn1.codec.der
import time:      1687 |       1687 |                       pyasn1.codec.cer
import time:      1193 |       1193 |                           pyasn1.type
import time:      1440 |       1440 |                             pyasn1.codec.ber
import time:      1550 |       1550 |                                   pyasn1.type.error
import time:      2005 |       3554 |                                 pyasn1.type.constraint
import time:      2101 |       2101 |                                 pyasn1.type.tag
import time:      1519 |       1519 |                                 pyasn1.type.tagmap
import time:      2627 |       9799 |                               pyasn1.type.base
import time:      1746 |      11544 |                             pyasn1.codec.ber.eoo
import time:      1339 |       1339 |                             pyasn1.compat
import time:      1616 |       1616 |                             pyasn1.compat.integer
import time:      1238 |       1238 |                             pyasn1.type.namedtype
import time:      1613 |       1613 |                             pyasn1.type.namedval
import time:      4464 |      23252 |                           pyasn1.type.univ
import time:      1943 |      26387 |                         pyasn1.codec.streaming
import time:      1751 |       1751 |                           pyasn1.debug
import time:      1881 |       1881 |                           pyasn1.type.char
import time:      1932 |       1932 |                           pyasn1.type.useful
import time:      3201 |       8763 |                         pyasn1.codec.ber.decoder
import time:      1952 |      37102 |                       pyasn1.codec.cer.decoder
import time:      1895 |      40683 |                     pyasn1.codec.der.decoder
import time:      2357 |       2357 |                         pyasn1.codec.ber.encoder
import time:      2079 |       4436 |                       pyasn1.codec.cer.encoder
import time:      1439 |       5874 |                     pyasn1.codec.der.encoder
import time:      2211 |      54676 |                   jose.backends._asn1
import time:      3200 |      83534 |                 jose.backends.rsa_backend
import time:       158 |        158 |                     cryptography
import time:        68 |        225 |                   cryptography.exceptions
import time:       616 |        841 |                 jose.backends.cryptography_backend
import time:      1555 |       1555 |                 jose.backends.ecdsa_backend
import time:       154 |        154 |                     cryptography
import time:        66 |        219 |                   cryptography.exceptions
import time:       589 |        808 |                 jose.backends.cryptography_backend
import time:       152 |        152 |                     cryptography
import time:        59 |        210 |                   cryptography.exceptions
import time:       491 |        700 |                 jose.backends.cryptography_backend
import time:      1862 |     159464 |               jose.backends
import time:        75 |     159539 |             jose.backends.base
import time:      1794 |     161333 |           jose.jwk
import time:      3144 |     164476 |         jose.jws
import time:      1916 |     166391 |       jose.jwt
import time:      3524 |       3524 |         bcrypt._bcrypt
import time:      1860 |       5383 |       bcrypt
import time:      2006 |     177905 |     app.utils.security
import time:      2354 |       2354 |             pydantic.v1.typing
import time:      4153 |       6506 |           pydantic.v1.errors
import time:       191 |        191 |               cython
import time:      1569 |       1760 |             pydantic.v1.version
import time:      2956 |       4716 |           pydantic.v1.utils
import time:      2215 |      13436 |         pydantic.v1.class_validators
import time:      2499 |       2499 |         pydantic.v1.config
import time:      2401 |       2401 |             pydantic.v1.color
import time:      3406 |       3406 |                 pydantic.v1.datetime_parse
import time:      2310 |       5716 |               pydantic.v1.validators
import time:      3120 |       8835 |             pydantic.v1.networks
import time:      4279 |       4279 |             pydantic.v1.types
import time:      2025 |      17539 |           pydantic.v1.json
import time:      1871 |      19410 |         pydantic.v1.error_wrappers
import time:      3043 |       3043 |         pydantic.v1.fields
import time:      1798 |       1798 |           pydantic.v1.parse
import time:      2579 |       2579 |           pydantic.v1.schema
import time:      3309 |       7685 |         pydantic.v1.main
import time:      2495 |      48565 |       pydantic.v1.dataclasses
import time:      1464 |       1464 |       pydantic.v1.annotated_types
import time:      1927 |       1927 |       pydantic.v1.decorator
import time:      2663 |       2663 |       pydantic.v1.env_settings
import time:       587 |        587 |       pydantic.v1.tools
import time:      1736 |      56940 |     pydantic.v1
import time:      5187 |     835287 |   app.routes.auth
import time:      6750 |    2094242 | app.main
