import time: self [us] | cumulative | imported package
import time:      1449 |       1585 |               locale
import time:      3939 |       3939 |               fcntl
import time:       312 |        312 |               msvcrt
import time:      3635 |       3635 |               _posixsubprocess
import time:      3033 |      12502 |             subprocess
import time:      2483 |      14984 |           anyio._core._subprocesses
import time:      3215 |       3215 |                 zlib
import time:      1449 |       1449 |                   _compression
import time:      5928 |       5928 |                   _bz2
import time:      2627 |      10003 |                 bz2
import time:      2204 |       2204 |                   _lzma
import time:       703 |       2906 |                 lzma
import time:      1905 |      18028 |               shutil
import time:      4256 |       4256 |                   _bisect
import time:       479 |       4734 |                 bisect
import time:      2684 |       2684 |                 _random
import time:      1087 |       8504 |               random
import time:      2287 |      28818 |             tempfile
import time:      5524 |      34342 |           anyio._core._tempfile
import time:      7825 |     329782 |         anyio
import time:      8922 |       8922 |                       typing_extensions
import time:      5808 |       5808 |                       pydantic_core._pydantic_core
import time:       917 |        917 |                             numbers
import time:      4016 |       4933 |                           _decimal
import time:       553 |       5485 |                         decimal
import time:     24281 |      29765 |                       pydantic_core.core_schema
import time:      3230 |      47724 |                     pydantic_core
import time:      2747 |      50471 |                   pydantic.version
import time:      2465 |      52936 |                 pydantic.warnings
import time:      4358 |      57294 |               pydantic._migration
import time:      2048 |       2048 |                   typing_inspection
import time:      5381 |       5381 |                   typing_inspection.typing_objects
import time:      3137 |      10564 |                 typing_inspection.introspection
import time:      1779 |       1779 |                 pydantic._internal
import time:      2530 |       2530 |                     pydantic._internal._namespace_utils
import time:      4466 |       6996 |                   pydantic._internal._typing_extra
import time:      3987 |      10983 |                 pydantic._internal._repr
import time:      2532 |      25857 |               pydantic.errors
import time:      4120 |      87269 |             pydantic
import time:      1248 |       1248 |                 pydantic._internal._internal_dataclass
import time:      4636 |       5884 |               pydantic.aliases
import time:      3200 |       3200 |               pydantic.config
import time:      2136 |      11219 |             pydantic._internal._config
import time:      1610 |       1610 |               pydantic._internal._core_utils
import time:      3474 |       3474 |                 pydantic._internal._import_utils
import time:      3901 |       7375 |               pydantic._internal._utils
import time:     13204 |      22188 |             pydantic._internal._decorators
import time:      2915 |       2915 |                 pydantic._internal._forward_ref
import time:      2316 |       5230 |               pydantic._internal._generics
import time:      1728 |       1728 |               pydantic._internal._docs_extraction
import time:      2761 |       9719 |             pydantic._internal._fields
import time:      2633 |       2633 |                 pydantic.plugin
import time:      1782 |       4415 |               pydantic.plugin._schema_validator
import time:      2778 |       7193 |             pydantic._internal._mock_val_ser
import time:      3782 |       3782 |                 fractions
import time:      2722 |       2722 |                   _uuid
import time:      3373 |       6095 |                 uuid
import time:      1402 |       1402 |                     sysconfig
import time:      2828 |       2828 |                     _sysconfigdata__darwin_darwin
import time:       800 |        800 |                     _osx_support
import time:      2563 |       7591 |                   zoneinfo._tzpath
import time:       437 |        437 |                   zoneinfo._common
import time:      5529 |       5529 |                   _zoneinfo
import time:       967 |      14523 |                 zoneinfo
import time:      2516 |       2516 |                 pydantic.annotated_handlers
import time:     17292 |      17292 |                 pydantic.functional_validators
import time:      2368 |       2368 |                   pydantic._internal._core_metadata
import time:      1729 |       1729 |                   pydantic._internal._schema_generation_shared
import time:      6804 |      10900 |                 pydantic.json_schema
import time:      2457 |       2457 |                 pydantic._internal._discriminated_union
import time:      2039 |       2039 |                 pydantic._internal._known_annotated_metadata
import time:      3305 |       3305 |                 pydantic._internal._schema_gather
import time:      5602 |      68506 |               pydantic._internal._generate_schema
import time:      2474 |       2474 |               pydantic._internal._signature
import time:      2831 |      73810 |             pydantic._internal._model_construction
import time:      1229 |       1229 |               http
import time:      3845 |       5074 |             starlette.exceptions
import time:     26421 |      26421 |               annotated_types
import time:      2864 |       2864 |               pydantic._internal._validators
import time:     20766 |      20766 |               pydantic.types
import time:      8786 |      58836 |             pydantic.fields
import time:       976 |        976 |                     importlib._abc
import time:       587 |       1563 |                   importlib.util
import time:       675 |        675 |                     zipfile._path.glob
import time:      1295 |       1970 |                   zipfile._path
import time:      2660 |       6192 |                 zipfile
import time:     14993 |      14993 |                 importlib.metadata._meta
import time:       841 |        841 |                 importlib.metadata._collections
import time:       583 |        583 |                 importlib.metadata._functools
import time:       590 |        590 |                 importlib.metadata._itertools
import time:      1784 |       1784 |                       importlib.resources.abc
import time:      1520 |       3303 |                     importlib.resources._common
import time:       476 |        476 |                     importlib.resources._functional
import time:       707 |       4484 |                   importlib.resources
import time:      1288 |       5771 |                 importlib.abc
import time:      3873 |      32841 |               importlib.metadata
import time:      2091 |      34931 |             pydantic.plugin._loader
import time:     30399 |     340632 |           fastapi.exceptions
import time:      2858 |       2858 |             fastapi.openapi
import time:       793 |        793 |                 fastapi.types
import time:       631 |        631 |                   shlex
import time:      3192 |       3192 |                   starlette.concurrency
import time:      1574 |       1574 |                   starlette.types
import time:      3682 |       9078 |                 starlette.datastructures
